Cosignee,Origin,Destination
 Muller Textiles Mexico. S. De R.L. ," Antwerp, Belgium"," Savannah, Georgia"
 Aic American Int. Container ," Rotterdam, Netherlands"," New York/Newark Area, Newark, New Jersey"
 Heidelberg Mexico S. De R.L. De C.V ," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
 Coregistics ," Hamburg, Federal Republic of Germany"," New York/Newark Area, Newark, New Jersey"
" Menshen Packaging Usa, Inc. "," Bremerhaven, Federal Republic of Germany"," New York/Newark Area, Newark, New Jersey"
 the Wine Group ," Rotterdam, Netherlands"," New York, New York"
 Jakob Mueller of America Inc. ," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
 Wurth Service Supply Inc ," Hamburg, Federal Republic of Germany"," New York, New York"
 Leon Plastics Inc ," Bremerhaven, Federal Republic of Germany"," Houston, Texas"
 Coroplast Tape Corporation ," Antwerp, Belgium"," Houston, Texas"
 Se Bordnetze - Mexico S.a. De C.V. ," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
 Stihl Incorporated ," Hamburg, Federal Republic of Germany"," Norfolk, Virginia"
" Gemue Valves, Inc. "," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
 Alpenland International Inc ," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
" Gentherm (Texas), Inc. "," Bremerhaven, Federal Republic of Germany"," Houston, Texas"
 Fred Miller C/O ," Antwerp, Belgium"," New York/Newark Area, Newark, New Jersey"
 Logtec S.a. De C.V. ," Antwerp, Belgium"," Savannah, Georgia"
 Lonseal ," Hamburg, Federal Republic of Germany"," New York, New York"
 the Coca Cola Company ," Rotterdam, Netherlands"," Savannah, Georgia"
 Merchant Du Vin ," Bremerhaven, Federal Republic of Germany"," New York/Newark Area, Newark, New Jersey"
" Rowa Group Usa, Llc "," Bremerhaven, Federal Republic of Germany"," New York/Newark Area, Newark, New Jersey"
 Takara Belmont Usa ," Bremerhaven, Federal Republic of Germany"," New York, New York"
 Siemens S.a. De C.V. ," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
" Colortech, Inc "," Rotterdam, Netherlands"," Charleston, South Carolina"
" Kostal Kontakt Systeme, Inc. "," Bremerhaven, Federal Republic of Germany"," New York/Newark Area, Newark, New Jersey"
 Ikea Distribution Services Inc. ," Bremerhaven, Federal Republic of Germany"," Savannah, Georgia"
 Sigma-Aldrich International Gmbh ," Rotterdam, Netherlands"," New York, New York"
" Brose Tuscaloosa, Inc. "," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
 Schaeffler Mexico S De R.L. De C.V. ," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
" M.O. Industries, Inc. "," Antwerp, Belgium"," Philadelphia, Pennsylvania"
 Logis Servicios De Comercio ," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
 Mario Mueller-Voigt ," Bremerhaven, Federal Republic of Germany"," New Orleans, Louisiana"
 Atlantic Importing Company ," Antwerp, Belgium"," Boston, Massachusetts"
 Christie Lites ," Bremerhaven, Federal Republic of Germany"," Houston, Texas"
" M. Cornell Importers, Inc. "," Hamburg, Federal Republic of Germany"," Norfolk, Virginia"
 Mallory Transportation System ," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
 Madearte Furniture Imports ," Itajai, Brazil"," San Juan, Puerto Rico"
 Mallory Alexander International ," Hamburg, Federal Republic of Germany"," Norfolk, Virginia"
 M.Cornell Importers Inc. ," Hamburg, Federal Republic of Germany"," Norfolk, Virginia"
 Wurth Service Supply ," Hamburg, Federal Republic of Germany"," New York, New York"
 Winewise / Vienna Wine Co ," Antwerp, Belgium"," Oakland, California"
 Broward International Trade Llc ," Hamburg, Federal Republic of Germany"," New York, New York"
 Ssf Imported Auto Parts ," Bremerhaven, Federal Republic of Germany"," Los Angeles, California"
 Johnson Controls Servicios S De Rl ," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
" Hille & Muller Usa, Inc.C/O Stueken "," Rotterdam, Netherlands"," Charleston, South Carolina"
 American International Container ," Antwerp, Belgium"," Philadelphia, Pennsylvania"
 Paul Mueller Packaging Solutions ," Rotterdam, Netherlands"," Charleston, South Carolina"
 Muller Martibe Crop. ," Bremerhaven, Federal Republic of Germany"," New York/Newark Area, Newark, New Jersey"
 Muller Martine Corp. ," Rotterdam, Netherlands"," New York/Newark Area, Newark, New Jersey"
 Aldrich Chemical Company Inc ," Rotterdam, Netherlands"," Norfolk, Virginia"
 Colortech Inc ," Rotterdam, Netherlands"," Charleston, South Carolina"
 Peak Building Products Llc ," Cartagena, Colombia"," Tacoma, Washington"
 Johnson Controls Automotriz Mexico ," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
" Heidelberg Usa, Inc. "," Rotterdam, Netherlands"," New York, New York"
 Terrence Mcparlane ," Bremerhaven, Federal Republic of Germany"," Baltimore, Maryland"
 Tesla Motors Incorporated ," Antwerp, Belgium"," Chester, Pennsylvania"
 M.O. Industries Inc. ," Rotterdam, Netherlands"," New York, New York"
 W.Mueller Usa Inc. ," Bremerhaven, Federal Republic of Germany"," Miami, Florida"
 Bosch Rexroth Corportation ," Hamburg, Federal Republic of Germany"," New York/Newark Area, Newark, New Jersey"
 Impresores En Offset Y Serigrafia ," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
 Nasco Inc. ," Rotterdam, Netherlands"," New York/Newark Area, Newark, New Jersey"
 2xd Productions Llc ," Bremerhaven, Federal Republic of Germany"," New York, New York"
 Mueller International Exhibit ," Rotterdam, Netherlands"," Miami, Florida"
 Ikea Distribution Services Inc. - P ," Bremerhaven, Federal Republic of Germany"," Savannah, Georgia"
" Jensen Usa, Inc. "," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
 B & C Technologies ," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
 Leon Plastics C/O Dale Forwarding ," Bremerhaven, Federal Republic of Germany"," Houston, Texas"
 Ikea Distribution Services Inc. - L ," Bremerhaven, Federal Republic of Germany"," Houston, Texas"
 Press and Sinter Technics De ," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
 Jos H Lowenstein & Sons Inc ," Hamburg, Federal Republic of Germany"," New York, New York"
 Quadax Valves Inc ," Rotterdam, Netherlands"," New York/Newark Area, Newark, New Jersey"
 Delphi - P - Rbe V ," Rotterdam, Netherlands"," Houston, Texas"
 Lonseal Inc ," Bremerhaven, Federal Republic of Germany"," Los Angeles, California"
" Tenaris Coiled Tubes, Llc "," Bremerhaven, Federal Republic of Germany"," Houston, Texas"
 Abb Inc Instrumentation ," Hamburg, Federal Republic of Germany"," New York, New York"
 Wuerth Logistics Usa Inc ," Hamburg, Federal Republic of Germany"," New York, New York"
 Tri Anvisgroup Mexico S.a.P.I. ," Rotterdam, Netherlands"," Charleston, South Carolina"
 Grindmaster Corporation ," Rotterdam, Netherlands"," New York/Newark Area, Newark, New Jersey"
 Huf Mexico S De Rl De Cv ," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
 Equipment Ltd . Mach. ," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
 Schunk Electro Carbon S.a. De C.V ," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
 German American Beauty Inc. ," Bremerhaven, Federal Republic of Germany"," Port Everglades, Florida"
 Rdc Rssi Distribution Center ," Antwerp, Belgium"," New York/Newark Area, Newark, New Jersey"
 Mountain Grooming Llc ," Antwerp, Belgium"," Chester, Pennsylvania"
 Johnson Controls Automotriz ," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
 Production Roche S.a. De C.V ," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
 Haram-Christensen Corp ," Antwerp, Belgium"," New York/Newark Area, Newark, New Jersey"
 Siemens Sa De Cv ," Barcelona, Spain"," Savannah, Georgia"
" Huf Mexico, S De Rl De Cv "," Antwerp, Belgium"," Charleston, South Carolina"
 Poligrafica C.a. ," Antwerp, Belgium"," Boston, Massachusetts"
 Frederick Wildman & Sons Ltd ," Antwerp, Belgium"," New York, New York"
 Kronoz Internacional Inc ," Rotterdam, Netherlands"," Charleston, South Carolina"
 the California Spirits Company ," Bremerhaven, Federal Republic of Germany"," Los Angeles, California"
 Fehrer South Carolina Llc ," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
 Bavarian Gift House ," Hamburg, Federal Republic of Germany"," New York, New York"
 Thomas Steel Strip Corp. ," Rotterdam, Netherlands"," Norfolk, Virginia"
" Mueller & Schmidt, Ny Now 2014 "," Bremerhaven, Federal Republic of Germany"," New York, New York"
 Pinnacle Peak Trading Company ," Bremerhaven, Federal Republic of Germany"," Houston, Texas"
" Mueller-Kueps, Lp "," Hamburg, Federal Republic of Germany"," New York, New York"
 Ikea Distribution Services Inc. - M ," Hamburg, Federal Republic of Germany"," New York/Newark Area, Newark, New Jersey"
 Mallory Alexander International Log ," Bremerhaven, Federal Republic of Germany"," Los Angeles, California"
 Muller Martini Corp ," Hamburg, Federal Republic of Germany"," New York, New York"
 Vestas Nacelles America Inc. ," Bremerhaven, Federal Republic of Germany"," Houston, Texas"
 Rochester Shoe Tree Co. Inc. ," Bremerhaven, Federal Republic of Germany"," Boston, Massachusetts"
 Wuerth Service Supply Inc. ," Bremerhaven, Federal Republic of Germany"," Norfolk, Virginia"
 Hille and Mueller Usa Inc ," Hamburg, Federal Republic of Germany"," New York, New York"
 Muller Quaker Dairy Llc ," Hamburg, Federal Republic of Germany"," New York, New York"
" M.Cornell Importers, Inc. "," Hamburg, Federal Republic of Germany"," Norfolk, Virginia"
 Mueller Martini Corp Usa ," Bremerhaven, Federal Republic of Germany"," New York, New York"
 Alliance Laundry Systems ," Hamburg, Federal Republic of Germany"," New York, New York"
 Mueller Martini Corp. ," Bremerhaven, Federal Republic of Germany"," New York/Newark Area, Newark, New Jersey"
" International Cord Sets, Inc, "," Bremerhaven, Federal Republic of Germany"," New York/Newark Area, Newark, New Jersey"
 Siemens Energy Inc. ," Hamburg, Federal Republic of Germany"," Norfolk, Virginia"
 Wuerth Service Supply ," Bremerhaven, Federal Republic of Germany"," Norfolk, Virginia"
 Co-Ax Valves ," Bremerhaven, Federal Republic of Germany"," New York, New York"
" Colortech, Inc. "," Rotterdam, Netherlands"," Charleston, South Carolina"
 California Scents ," Hamburg, Federal Republic of Germany"," New York, New York"
 Muller Martini Corp. ," Rotterdam, Netherlands"," New York, New York"
" Gstc Logistics Inc., "," Bremerhaven, Federal Republic of Germany"," Norfolk, Virginia"
 Lars Mueller Publishers ," Hamburg, Federal Republic of Germany"," New York, New York"
 Hotel Days Inn ," Bremerhaven, Federal Republic of Germany"," Brunswick, Georgia"
" Classic Wines, Inc "," Tarragona, Spain"," New York/Newark Area, Newark, New Jersey"
 Fehrer Automotive North America Llc ," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
 Ikea Distribution Services Inc. - S ," Bremerhaven, Federal Republic of Germany"," New York/Newark Area, Newark, New Jersey"
" Kathrein Inc., Scala Division "," Rotterdam, Netherlands"," Norfolk, Virginia"
 Vitrocsa Usa ," Antwerp, Belgium"," Los Angeles, California"
 Great Lakes Wines&Spirit ," Rotterdam, Netherlands"," Norfolk, Virginia"
 R20th Century Gallery ," Hamburg, Federal Republic of Germany"," New York/Newark Area, Newark, New Jersey"
 German American Beauty ," Hamburg, Federal Republic of Germany"," New York/Newark Area, Newark, New Jersey"
 Mallory Transportation Systems ," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
 Aldi Center Valley ," Antwerp, Belgium"," New York, New York"
 Jakob Mueller of America In. ," Rotterdam, Netherlands"," Charleston, South Carolina"
 W.E.T. Automotive Systems (Texas) I ," Bremerhaven, Federal Republic of Germany"," Houston, Texas"
 British Columbia Liquor Dist.Branch ," Antwerp, Belgium"," Savannah, Georgia"
" the Laundry Alternative, Inc ",None Given," New York, New York"
" Kamber Narrow Fabric Machinery, Llc "," Rotterdam, Netherlands"," Charleston, South Carolina"
 Efm Event Logistics ," Hamburg, Federal Republic of Germany"," New York, New York"
 W.E.T Automotive Systems (Texas) ," Bremerhaven, Federal Republic of Germany"," Houston, Texas"
" International Cord Sets, Inc. "," Bremerhaven, Federal Republic of Germany"," New York/Newark Area, Newark, New Jersey"
" American Car Equipment,S.a. De C.V "," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
 Anvisgroup Mexico S.a.P.I. De C.V. ," Rotterdam, Netherlands"," Charleston, South Carolina"
 Aweb Supply ," Rotterdam, Netherlands"," Houston, Texas"
 Rau Precision Metals Sa ," Bremerhaven, Federal Republic of Germany"," New York, New York"
 Press and Sinter Technics ," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
 W.E.T Automotive Systems Texas ," Bremerhaven, Federal Republic of Germany"," Houston, Texas"
 Lyco Manufacturing Inc. ," Rotterdam, Netherlands"," Norfolk, Virginia"
 Nowgroup Inc ," Bremerhaven, Federal Republic of Germany"," Houston, Texas"
 Muller Textiles Mexico ," Antwerp, Belgium"," Charleston, South Carolina"
 Domus Design Collection ," Genoa, Italy"," New York, New York"
" Quadax Valves, Inc. "," Bremerhaven, Federal Republic of Germany"," Houston, Texas"
 Anvisgroup Mexico S.a. De C.V. ," Rotterdam, Netherlands"," Charleston, South Carolina"
 Hunter Douglas Window Design ," Rotterdam, Netherlands"," New York, New York"
 Se Bordnetze Mexico S.a. De Cv ," Antwerp, Belgium"," Charleston, South Carolina"
 Fehrenbach Black Forest Clocks Llc ," Rotterdam, Netherlands"," New York/Newark Area, Newark, New Jersey"
 Allergies Lifestyle & Health ," Hamburg, Federal Republic of Germany"," New York, New York"
 Ikea Supply Ag ," Hamburg, Federal Republic of Germany"," New York/Newark Area, Newark, New Jersey"
 Quadax Valves Inc. ," Bremerhaven, Federal Republic of Germany"," Houston, Texas"
