Cosignee,Origin,Destination
" Ueta of Texas, Inc "," Rotterdam, Netherlands"," Houston, Texas"
 Azul Del Mar Sa De Cv ," Hamble, United Kingdom"," Port Everglades, Florida"
 Itunes Kk ," Gooch Island, BC, Canada"," Tacoma, Washington"
 Globe Pequot C/O National Book Netw ," Liverpool, United Kingdom"," Chester, Pennsylvania"
 Audley Travel Usa Inc ," Felixstowe, United Kingdom"," Boston, Massachusetts"
 Global Baggage Protection ," Cartagena, Colombia"," Port Everglades, Florida"
 National Contact Center ," Coryton, United Kingdom"," Los Angeles, California"
 Ikea Distribution Services Inc. - W ," Freeport, Grand Bahama Island, Bahamas"," Philadelphia, Pennsylvania"
 Eileen S Travel ," Hamburg, Federal Republic of Germany"," Miami, Florida"
 Mr Grant Brown ," Hamble, United Kingdom"," Baltimore, Maryland"
" Abbot Duty Free Confections, Llc "," Rotterdam, Netherlands"," New York/Newark Area, Newark, New Jersey"
 Duty Free City ," Rotterdam, Netherlands"," Los Angeles, California"
 Magna Import S.a. ," Rotterdam, Netherlands"," New York, New York"
 Globe Pequote ," Coryton, United Kingdom"," Charleston, South Carolina"
" Humberto Vidal,Inc "," Kingston, Jamaica"," San Juan, Puerto Rico"
 Unisys Lawson ," Gooch Island, BC, Canada"," Tacoma, Washington"
 T-Gaia Corp.Logistics Center ," Gooch Island, BC, Canada"," Tacoma, Washington"
 Carlisle Mpdc ," Le Havre, France"," New York/Newark Area, Newark, New Jersey"
 T-Gala Corp Logistics Center ," Gooch Island, BC, Canada"," Tacoma, Washington"
 Carnival Cruise Lines ," Bremerhaven, Federal Republic of Germany"," Port Everglades, Florida"
 Globe Pequot ," Felixstowe, United Kingdom"," Charleston, West Virginia"
 Innovative Logistics ," Hamble, United Kingdom"," New York, New York"
 Whitney Associates Inc. ," Bremerhaven, Federal Republic of Germany"," Miami, Florida"
 Blue Water Shipping Us ," Bremerhaven, Federal Republic of Germany"," Port Everglades, Florida"
 T-Gaia Corp ," Gooch Island, BC, Canada"," Tacoma, Washington"
 Dufry America Inc ," Rotterdam, Netherlands"," Miami, Florida"
 Ikea Supply Ag C/O Ikea Distributio ," Freeport, Grand Bahama Island, Bahamas"," Philadelphia, Pennsylvania"
 Distribuidora Alef ," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
 Naturex Inc ," Felixstowe, United Kingdom"," New York, New York"
 Priority Pass ," Felixstowe, United Kingdom"," Houston, Texas"
 Arcon Manufacturing Inc ," Antwerp, Belgium"," New York/Newark Area, Newark, New Jersey"
 Yusen Logistics(Americas)Inc. ," Mina Raysut, Oman"," Charleston, South Carolina"
 Starboard Cruise Services ," Rotterdam, Netherlands"," Miami, Florida"
 Travel Blue Usa Llc ," Antwerp, Belgium"," New York/Newark Area, Newark, New Jersey"
" Tsa Stores, Inc. "," Colombo, Sri Lanka"," Savannah, Georgia"
 Balkans Air Corp (Ny) ," Haifa, Israel"," New York/Newark Area, Newark, New Jersey"
