Cosignee,Origin,Destination
" Alpi U.S.a., Inc. "," Genoa, Italy"," New York/Newark Area, Newark, New Jersey"
 Dsv Air & Sea Inc. (Us) ," La Spezia, Italy"," New York/Newark Area, Newark, New Jersey"
 International Electronics ," Genoa, Italy"," New York, New York"
 Alpi Usa Incorporated ," La Spezia, Italy"," New York/Newark Area, Newark, New Jersey"
 Atlantic Marine Services ," La Spezia, Italy"," Miami, Florida"
" Is America, Llc "," La Spezia, Italy"," New York/Newark Area, Newark, New Jersey"
" American Lamprecht Transport, Inc. "," La Spezia, Italy"," New York/Newark Area, Newark, New Jersey"
 Db Group America ," Leghorn, Italy"," Los Angeles, California"
 Alisped U.S.a. Inc. ," La Spezia, Italy"," New York/Newark Area, Newark, New Jersey"
 Nebbiolo Sa De Cv ," La Spezia, Italy"," Port Everglades, Florida"
 Interfreight Harmonized Logistics ," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
 Ascaso Gallery ," La Spezia, Italy"," Port Everglades, Florida"
 Db Group America Ltd ," Leghorn, Italy"," Miami, Florida"
