Cosignee,Origin,Destination
 3m Dekalb - 3mus- Il ," Haifa, Israel"," New York/Newark Area, Newark, New Jersey"
 Basf Corporation ," Hamburg, Federal Republic of Germany"," New York/Newark Area, Newark, New Jersey"
 Light Fabrications ," Hamble, United Kingdom"," New York, New York"
 Angell-Demmel North America Inc. ," Bremerhaven, Federal Republic of Germany"," New York, New York"
" Basf Mexicana, S.a. De C.V. "," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
 Dartex Coatings Inc. ," Hamble, United Kingdom"," New York, New York"
 Torvin ," Hamble, United Kingdom"," Port Everglades, Florida"
 International Paint Llc ," Hamble, United Kingdom"," Houston, Texas"
 Mohawk Paper Mills Inc ," Hamble, United Kingdom"," New York, New York"
 Perfect Interior Design Inc ," Antwerp, Belgium"," New York, New York"
 International Paint ," Hamble, United Kingdom"," Houston, Texas"
 Jacobson Companies Houston ," Antwerp, Belgium"," Houston, Texas"
 Socotherm Gulf of Mexico Llc. ," Bremerhaven, Federal Republic of Germany"," Houston, Texas"
 Dermamed Coatings Llc ," Hamble, United Kingdom"," Norfolk, Virginia"
 Sea & Air Global ," Liverpool, United Kingdom"," Wilmington, North Carolina"
 Miller Technologies Incorporated ," Liverpool, United Kingdom"," Wilmington, North Carolina"
 Rustoleum ," Hamble, United Kingdom"," New York, New York"
 Baril Corporation ," Hamble, United Kingdom"," New York/Newark Area, Newark, New Jersey"
 Tiger Drylac Usa Inc. ," Bremerhaven, Federal Republic of Germany"," Norfolk, Virginia"
 Ppg Industries De Mexico Sa De Cv ," Le Havre, France"," Charleston, South Carolina"
 Mk Sales Inc. ," Antonina, Brazil"," Houston, Texas"
 Galleher Corporation ," Antwerp, Belgium"," Los Angeles, California"
 Valspar Corp Inbound 3rd Party V ," Le Havre, France"," New York/Newark Area, Newark, New Jersey"
 Sf Parquet ," Antwerp, Belgium"," Los Angeles, California"
 Akzo Nobel Coatings Inc. ," Genoa, Italy"," New York/Newark Area, Newark, New Jersey"
 United Paint Chemical Corp ," Hamburg, Federal Republic of Germany"," Norfolk, Virginia"
 Watco Industrial Flooring ," Liverpool, United Kingdom"," Chester, Pennsylvania"
 Hanita Coatings Usa Ltd ," Haifa, Israel"," New York/Newark Area, Newark, New Jersey"
 Abss4l Auto Paint Supplies Llc ," Rotterdam, Netherlands"," New York, New York"
 Ppg Pmc Jacobson Dc ," Djakarta, Indonesia"," Houston, Texas"
 Eastman Kodak Company ," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
 Cemecon ," Rotterdam, Netherlands"," New York, New York"
 Coveris Advanced Coatings ," Hamble, United Kingdom"," Charleston, South Carolina"
 Crown Cork & Seal ," Hamble, United Kingdom"," New York, New York"
 Treffert Coatings Us Inc. ," Rotterdam, Netherlands"," Charleston, South Carolina"
" Heidelberg Usa, Inc. "," Rotterdam, Netherlands"," New York, New York"
 Precision Custom Coatings ," Antwerp, Belgium"," New York/Newark Area, Newark, New Jersey"
 Empresa Publica De Exploracon ," Antwerp, Belgium"," Boston, Massachusetts"
 Joseph & Taylor ,N/A,N/A
 Ppg Industries Inc ," Antwerp, Belgium"," Long Beach, California"
 International Paint Inc ," Hamble, United Kingdom"," Houston, Texas"
 Gintzler Graphics ," Hamble, United Kingdom"," New York, New York"
 Midwest Powder Coatings ," Bremerhaven, Federal Republic of Germany"," Norfolk, Virginia"
 Xal Inc ," Hamburg, Federal Republic of Germany"," New York, New York"
" Siemens, S.a. De C.V. "," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
 Professional Hair Labs ," Hamble, United Kingdom"," Port Everglades, Florida"
 Miller Tech Incorporated ," Liverpool, United Kingdom"," Norfolk, Virginia"
 Sgd (North America) Inc ," Hamble, United Kingdom"," New York, New York"
 Zf Group North American Operations ," Hamburg, Federal Republic of Germany"," Charleston, South Carolina"
 Magnesium Elektron Na ," Hamble, United Kingdom"," New York, New York"
 Hempel (Usa) Inc. ," Bullen Baai, Netherland Antilles"," Port Everglades, Florida"
 Dakota Coatings Inc ," Antwerp, Belgium"," Charleston, South Carolina"
 Agc Flat Grass North America ," Antwerp, Belgium"," New York, New York"
" Resysta North America, Inc "," Rotterdam, Netherlands"," Los Angeles, California"
 Arkema Inc. ," La Spezia, Italy"," New York, New York"
 Grupo Zapata Costa Rica Sa ," Hamburg, Federal Republic of Germany"," Miami, Florida"
" Ofs Fitel,Llc "," Porto de Sines, Portugal"," Boston, Massachusetts"
 Strukmyer Llc ," Hamble, United Kingdom"," New York, New York"
 Aarc Distributors ," Hamble, United Kingdom"," New York, New York"
 Rustoleum Corporation ," Hamble, United Kingdom"," New York, New York"
 Arkema Inc ," La Spezia, Italy"," New York, New York"
 Soleras Advanced Coatings ," Antwerp, Belgium"," New York, New York"
 Tremco Inc Ic407 ," Hamble, United Kingdom"," New York, New York"
 Bostik Mexicana Sade Cv ," Naples, Italy"," Port Everglades, Florida"
" Ppg Industries ,Inc. "," Rotterdam, Netherlands"," Norfolk, Virginia"
 Amf Support Services Inc ," Hamble, United Kingdom"," Los Angeles, California"
 Ecuanobel Sa ," Antwerp, Belgium"," Savannah, Georgia"
 Cemecon Inc ," Rotterdam, Netherlands"," New York, New York"
 Nof Metal Coatings Na ," Antwerp, Belgium"," New York, New York"
 Ppg Aerospace Transparancies ," Le Havre, France"," New York, New York"
 International Paint Llc Central ," Rotterdam, Netherlands"," Charleston, South Carolina"
 Continental Grafix Usa Inc ," Coryton, United Kingdom"," Charleston, South Carolina"
 Basf Mexicana S.a. De C.V. ," Barcelona, Spain"," Port Everglades, Florida"
 Alltub Mexico Sa De Cv ," Genoa, Italy"," Port Everglades, Florida"
 Globalends Sa De Cv ," Barcelona, Spain"," Port Everglades, Florida"
 International Perforatings Svce ," Coryton, United Kingdom"," Charleston, South Carolina"
 Centryco Inc. ," Hamburg, Federal Republic of Germany"," New York, New York"
 Reemco Import Inc. ," Bur Said, Egypt"," Houston, Texas"
 Prc De Soto International ," Le Havre, France"," New York, New York"
 Cuel Limited ," Halifax, NS, Canada"," New York/Newark Area, Newark, New Jersey"
" Akzo Nobel Coatings, Inc "," Hamburg, Federal Republic of Germany"," Norfolk, Virginia"
 Fisher & Paykel Dynamic Cooking Sys ," Bremerhaven, Federal Republic of Germany"," Houston, Texas"
 Savino Del Bene Mexico S.a. De C.V. ," Barcelona, Spain"," Port Everglades, Florida"
 Rust-Oleum Industrial Flooring ," Hamble, United Kingdom"," Los Angeles, California"
 Plaskolite ," Bremerhaven, Federal Republic of Germany"," Houston, Texas"
 Moz Agencias Aduanales De Tampico ," Genoa, Italy"," Savannah, Georgia"
 Specified Technologies Inc ," Hamilton, Bermuda"," Wilmington, Delaware"
 Agility Corp. ," Bremerhaven, Federal Republic of Germany"," New York, New York"
 Owens Corning Korea ," Gooch Island, BC, Canada"," Tacoma, Washington"
 Findlay Food Coatings Limited ," Taoranga, New Zealand"," Los Angeles, California"
 Global Ends S.a. De C.V. ," Barcelona, Spain"," Port Everglades, Florida"
 Thanh Tai Composite Plastic Joint ," Gooch Island, BC, Canada"," Tacoma, Washington"
 Ciranova North America ," Antwerp, Belgium"," New York, New York"
 R R Donnelley & Sons ," Hamble, United Kingdom"," New York, New York"
 Abss4al Auto Paint Supplies Inc. ," Rotterdam, Netherlands"," Long Beach, California"
 Surface Elements ," Sydney, Australia"," Los Angeles, California"
 Zippertubing Co ," Hamburg, Federal Republic of Germany"," Los Angeles, California"
 Akzo Nobel Coatings ," Liverpool, United Kingdom"," New York/Newark Area, Newark, New Jersey"
 Trilausch House-Indogulf ," Gooch Island, BC, Canada"," Tacoma, Washington"
" Comersys Llc, West Tower Suite "," Rotterdam, Netherlands"," Los Angeles, California"
 Celplast Metallized Products Limite ," Haifa, Israel"," New York, New York"
 Crystal Warehouse Corp ," Valencia, Spain"," New York/Newark Area, Newark, New Jersey"
 Pwd Inc ," Liverpool, United Kingdom"," New York, New York"
 Haijan Trading & Industrial ," Gooch Island, BC, Canada"," Portland, Oregon"
 Genesis Light Line ," Hasting, Australia"," Los Angeles, California"
 Dermamed Coating Company ," Hamble, United Kingdom"," Norfolk, Virginia"
 Heidelberg Mexico S. De Rl De Cv ," Rotterdam, Netherlands"," Charleston, South Carolina"
 International Perforatings Services ," Hamble, United Kingdom"," Charleston, South Carolina"
 Rustoleum Industrial Flooring ," Liverpool, United Kingdom"," Norfolk, Virginia"
 Master M T Aquila ," Hamble, United Kingdom"," New York, New York"
 Global Ends Sa De Cv ," Barcelona, Spain"," Port Everglades, Florida"
 Steel Magnolias ," Kingston, Jamaica"," New York/Newark Area, Newark, New Jersey"
 Soleras Advanced Coatings Ltd ," Antwerp, Belgium"," New York, New York"
 Agc Flat Glass North America ," Antwerp, Belgium"," New York, New York"
 Berghofer Residence Carpe Diem ," Bremerhaven, Federal Republic of Germany"," Port Everglades, Florida"
 Caribbean Protection (Barbados) Inc ," Saint John, NB, Canada"," West Palm Beach, Florida"
 Xal Inc. ," Hamburg, Federal Republic of Germany"," New York, New York"
 Soon Yang Chemicals Sdn. Bhd. ," Gooch Island, BC, Canada"," Tacoma, Washington"
 Exopack Advanced Coatings ," Hamble, United Kingdom"," Charleston, South Carolina"
 Seatech International Inc. ," Altamira, Mexico"," Houston, Texas"
 Bostik Inc. ," Valencia, Spain"," New York/Newark Area, Newark, New Jersey"
 Chemence ," Felixstowe, United Kingdom"," Charleston, South Carolina"
 Dakota Coatings Inc 6650 Rivers Ave ," Antwerp, Belgium"," Charleston, South Carolina"
 Siemens S.a. De C.V. ," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
 Ufloor Systems Inc. ," Bremerhaven, Federal Republic of Germany"," Houston, Texas"
 Ppg Industries De Mexico S.a. De C. ," Antwerp, Belgium"," Charleston, South Carolina"
" Color Teleos, Llc "," Bur Said, Egypt"," Savannah, Georgia"
 Tuboscope Vetco International ," Antwerp, Belgium"," Houston, Texas"
 Carr North America Llc ," Rotterdam, Netherlands"," New York, New York"
 American Computer Optics ," Hamburg, Federal Republic of Germany"," Los Angeles, California"
 Rust-Oleum Industrial Estate ," Cartagena, Colombia"," Los Angeles, California"
 Bouyges Civil Works Florida ," Felixstowe, United Kingdom"," Miami, Florida"
 Tru Vue Inc ," Antwerp, Belgium"," New York, New York"
 Chase Corporation ," Hamble, United Kingdom"," Norfolk, Virginia"
 Bauer Manufacturing Inc ," Bremerhaven, Federal Republic of Germany"," Houston, Texas"
 Ufloor Systems Inc ," Bremerhaven, Federal Republic of Germany"," Houston, Texas"
 Ei Dupont De Nemours & Company ," Antwerp, Belgium"," Chester, Pennsylvania"
 Dpc ," Antwerp, Belgium"," Chester, Pennsylvania"
 E.I. Du Pont ," Rotterdam, Netherlands"," Norfolk, Virginia"
 Akzo Nobel Paints Llc ," Genoa, Italy"," New York, New York"
 Sistema Aduana Profesional ," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
 Dupont Powder Coatings ," Antwerp, Belgium"," Houston, Texas"
 Dpc Front Royal Plant ," Antwerp, Belgium"," Chester, Pennsylvania"
