Cosignee,Origin,Destination
 the Kroger Co ," La Spezia, Italy"," Norfolk, Virginia"
 Axiom Enterprises Llc ," La Spezia, Italy"," New York/Newark Area, Newark, New Jersey"
 Trader Joe'S ," La Spezia, Italy"," Long Beach, California"
 National Food Trading Corp. ," Algeciras, Spain"," New York, New York"
 Prime Line Distributors Inc. ," Leghorn, Italy"," Port Everglades, Florida"
 Valco Enterprises Llc ," Algeciras, Spain"," Houston, Texas"
" Paris Gourmet of N.Y., Inc. "," Genoa, Italy"," New York/Newark Area, Newark, New Jersey"
 Encore! East Coast Warehouse ," Genoa, Italy"," New York, New York"
 Trader Joe S Company ," Leghorn, Italy"," Los Angeles, California"
 Mabbs Mondo Italiano ," La Spezia, Italy"," New York, New York"
 Alpa Marketing Suite Nassau ," Leghorn, Italy"," Los Angeles, California"
 J.a.V. Food Corp. Dba Agata and Val ," Leghorn, Italy"," New York, New York"
 National Food Trading Corp ," La Spezia, Italy"," New York, New York"
 Encore Foods ," Naples, Italy"," New York, New York"
 Prime Line Distributors Inc ," La Spezia, Italy"," Port Everglades, Florida"
" Encore! Specialty Foods, Llc. "," Genoa, Italy"," New York, New York"
 Zanetti Inc. ," Leghorn, Italy"," New York, New York"
 Valco Enterprise Llc ," La Spezia, Italy"," Houston, Texas"
 Paris Gourmet of New York ," Genoa, Italy"," New York/Newark Area, Newark, New Jersey"
" Orlando Greco & Son Import, Llc. "," Naples, Italy"," New York, New York"
 Girard'S Gff Inc. ," Valencia, Spain"," Long Beach, California"
" Belcanto Foods, Llc. "," Naples, Italy"," New York, New York"
 Colavita Usa 1 Runyons Lane Ed ," Naples, Italy"," New York/Newark Area, Newark, New Jersey"
" Food Specialties Trading, Llc. "," Naples, Italy"," New York, New York"
" Ferraro Foods, Inc. "," Naples, Italy"," New York/Newark Area, Newark, New Jersey"
 La Bomboniera Inc. ," Naples, Italy"," New York, New York"
 the Napoleon Co. ," Cagliari, Italy"," Tacoma, Washington"
" Rao'S Specialty Foods, Inc. "," Naples, Italy"," New York, New York"
 Rosario Pino'S Artisan Foods Llc ," Leghorn, Italy"," New York, New York"
 Rubia Imports ," Genoa, Italy"," New York, New York"
 Crescent Ridge Farms Llc Dba Advant ," Leghorn, Italy"," New York, New York"
 Conca D'Oro Importers Inc ," Genoa, Italy"," New York/Newark Area, Newark, New Jersey"
 European Imports Inc. ," Leghorn, Italy"," New York, New York"
 Rienzi & Sons Inc ," Naples, Italy"," New York/Newark Area, Newark, New Jersey"
 Alanric Food Distributors ," Genoa, Italy"," New York/Newark Area, Newark, New Jersey"
" Schreiber Foods International, Inc. "," Naples, Italy"," New York, New York"
 Petrobeni America Inc ," Valencia, Spain"," New York/Newark Area, Newark, New Jersey"
 Comercialzadora Mexico Americana S ," Naples, Italy"," Port Everglades, Florida"
 Selected Food and Beverage Inc ," Naples, Italy"," Houston, Texas"
" Cibaria International, Inc. "," Porto de Sines, Portugal"," Long Beach, California"
 Jan K. Overweel Limited ," Porto de Sines, Portugal"," Long Beach, California"
 Comercializadora Mexico Americana S ," Naples, Italy"," Port Everglades, Florida"
" Perkins Paper, Inc "," Saint John, NB, Canada"," Boston, Massachusetts"
 Food Specialties Trading Llc ," Valencia, Spain"," New York/Newark Area, Newark, New Jersey"
